Region,Resource,Zone,Cluster,AnnualSum
NE,natural_gas_ccs_2,1,1,0.000135511308978317
NE,solar_pv_2,1,1,1.9119394484226713e9
NE,comm_solar_pv_2,1,1,8.790443665666667e-6
NE,res_solar_pv_2,1,1,3.6903460482696604e-6
NE,onshore_wind_2,1,1,1.6788994980174165e9
NE,battery_2,1,1,3.85822100070865e8
NE,fixed_offshore_wind_2,1,1,1.4715247495284753e9
NE,float_offshore_wind_2,1,1,9.265706200104818e-6
NE,natural_gas_2,1,1,9.780193531765045e9
NE,nuclear_2,1,1,0.0
NE,ror_hydro_2,1,1,4.487480720666853e8
NE,pumped_hydro_2,1,1,2.0413775808960757e8
